source,discovered_urls,new_urls,sitemap_docs,robots_status,elapsed_seconds,status,targets,fetched,not_modified,recognized_recipes,verified_recipes,conflicts,missing,errors,http_403,http_429,dom_structure_changes,schema_structure_changes,legacy_backfill_targets,legacy_backfill_resolved,crawl_robots_status,crawl_elapsed_seconds
allrecipes.com,743,0,6,ok,2.64,ok,743.0,743.0,0.0,647.0,552.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,ok,538.3
foodnetwork.com,0,0,1,unavailable:HTTPError,0.46,ok,,,,,,,,,,,,,,,,
delish.com,150,0,11,ok,2.53,ok,150.0,150.0,0.0,110.0,83.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,ok,298.29
eatingwell.com,150,0,4,ok,1.24,ok,150.0,150.0,0.0,113.0,69.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,ok,95.57
tasteofhome.com,231,0,49,ok,58.83,ok,231.0,230.0,1.0,183.0,121.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,ok,251.66
skinnytaste.com,708,0,7,ok,3.41,ok,169.0,163.0,6.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,ok,92.48
therecipecritic.com,120,0,7,ok,15.65,ok,120.0,104.0,16.0,102.0,70.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,ok,48.44
spendwithpennies.com,84,0,7,ok,1.02,ok,84.0,84.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,ok,41.26
pinchofyum.com,7,0,7,ok,1.47,ok,7.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,0.78
budgetbytes.com,73,0,7,ok,5.11,ok,38.0,38.0,0.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,ok,18.89
simplyrecipes.com,52,0,3,ok,1.16,ok,52.0,52.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,ok,30.62
wellplated.com,60,0,5,ok,2.01,ok,60.0,54.0,6.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,ok,28.61
natashaskitchen.com,13,0,12,ok,2.47,ok,12.0,12.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,ok,7.81
downshiftology.com,20,0,9,ok,1.49,ok,17.0,15.0,2.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,ok,7.03
gimmesomeoven.com,0,0,1,ok,3.95,ok,,,,,,,,,,,,,,,,
lecremedelacrumb.com,7,0,5,ok,4.81,ok,7.0,4.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ok,2.22
therealfooddietitians.com,20,0,5,ok,5.31,ok,12.0,8.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,4.05
loveandlemons.com,19,0,6,ok,1.49,ok,19.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ok,8.11
thepioneerwoman.com,61,0,8,ok,2.09,ok,59.0,59.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,ok,22.18
cookingclassy.com,0,0,10,ok,8.68,ok,,,,,,,,,,,,,,,,
iheartnaptime.net,4,0,10,ok,7.65,ok,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,2.16
feelgoodfoodie.net,42,0,7,ok,9.33,ok,42.0,33.0,9.0,40.0,37.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,ok,15.13
kristineskitchenblog.com,42,0,4,ok,3.24,ok,42.0,0.0,42.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1.73
jocooks.com,0,0,1,ok,0.74,ok,,,,,,,,,,,,,,,,
recipetineats.com,0,0,9,ok,8.49,ok,,,,,,,,,,,,,,,,
bbcgoodfood.com,227,0,120,ok,70.92,ok,227.0,224.0,0.0,136.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,187.09
seriouseats.com,41,0,3,ok,1.26,ok,41.0,41.0,0.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,ok,26.59
thekitchn.com,0,0,2,ok,0.57,ok,,,,,,,,,,,,,,,,
foodandwine.com,75,0,4,ok,1.52,ok,75.0,75.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,ok,45.72
ambitiouskitchen.com,0,0,120,ok,4.84,ok,,,,,,,,,,,,,,,,
eatingbirdfood.com,32,0,5,ok,1.26,ok,32.0,25.0,7.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,ok,14.07
wholesomeyum.com,55,0,11,ok,12.65,ok,55.0,51.0,4.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,ok,38.06
dinneratthezoo.com,12,0,5,ok,5.16,ok,12.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ok,2.32
diethood.com,54,0,6,ok,14.69,ok,54.0,51.0,3.0,52.0,49.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,ok,25.02
twopeasandtheirpod.com,0,0,6,ok,9.44,ok,,,,,,,,,,,,,,,,
everydayfamilycooking.com,533,0,4,ok,5.98,ok,455.0,453.0,2.0,398.0,358.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,ok,239.97
airfryingfoodie.com,802,0,4,ok,0.61,ok,677.0,675.0,0.0,569.0,557.0,0.0,0.0,2.0,0.0,0.0,559.0,0.0,0.0,0.0,ok,582.55
platedcravings.com,57,0,4,ok,0.53,ok,57.0,57.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,ok,23.98
rachelcooks.com,82,0,7,ok,8.75,ok,82.0,81.0,1.0,61.0,55.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,ok,41.76
melskitchencafe.com,3,0,6,ok,13.24,ok,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,ok,1.45
forktospoon.com,2157,0,5,ok,35.42,ok,3466.0,3416.0,48.0,3196.0,2853.0,0.0,2.0,8.0,0.0,0.0,819.0,0.0,0.0,0.0,ok,1914.74
kelvinskitchen.com,325,0,8,ok,8.09,ok,101.0,101.0,0.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,ok,58.51
temeculablogs.com,477,0,7,ok,1.86,ok,231.0,231.0,0.0,214.0,202.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,ok,124.5
thestayathomechef.com,225,0,6,ok,14.13,ok,48.0,45.0,3.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,ok,28.3
theyummybowl.com,318,0,8,ok,10.73,ok,115.0,109.0,6.0,58.0,42.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,ok,54.23
