source,checked_this_run,successful_this_run,degraded_this_run,last_checked_at,hours_since_last_check,healthy_at_last_check,last_check_status,checked_within_24h,checked_within_7d,current_targets,current_verified,current_dom_structure_changes,current_schema_structure_changes
allrecipes.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,9.0,9.0,2,0
foodnetwork.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
delish.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,2.0,2.0,0,0
eatingwell.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
tasteofhome.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,0.0,0,0
skinnytaste.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,7.0,7.0,0,0
therecipecritic.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,4.0,2.0,0,0
spendwithpennies.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,6.0,6.0,1,0
pinchofyum.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,3.0,3.0,0,0
budgetbytes.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
simplyrecipes.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
wellplated.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,6.0,6.0,0,0
natashaskitchen.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,8.0,8.0,0,0
downshiftology.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,1.0,0,0
gimmesomeoven.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
lecremedelacrumb.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,1.0,0,0
therealfooddietitians.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,0.0,0,0
loveandlemons.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,2.0,2.0,0,0
thepioneerwoman.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
cookingclassy.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
iheartnaptime.net,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
feelgoodfoodie.net,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,9.0,9.0,4,0
kristineskitchenblog.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,2.0,0.0,1,0
jocooks.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
recipetineats.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
bbcgoodfood.com,False,False,False,2026-08-20T14:54:20.627828+00:00,2.8370745527777776,True,ok,True,True,,,0,0
seriouseats.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
thekitchn.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
foodandwine.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
ambitiouskitchen.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
eatingbirdfood.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,2.0,2.0,0,0
wholesomeyum.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,4.0,4.0,0,0
dinneratthezoo.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,1.0,0,0
diethood.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,8.0,7.0,0,0
twopeasandtheirpod.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
everydayfamilycooking.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,3.0,3.0,0,0
airfryingfoodie.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,9.0,9.0,8,0
platedcravings.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,1.0,0,0
rachelcooks.com,False,False,False,2026-08-20T16:50:27.004496+00:00,0.9019699227777778,True,ok,True,True,,,0,0
melskitchencafe.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,1.0,0,0
forktospoon.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,8.0,6.0,8,0
kelvinskitchen.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
temeculablogs.com,False,False,False,2026-08-20T11:23:57.264466+00:00,6.343564375555555,True,ok,True,True,,,0,0
thestayathomechef.com,True,True,False,2026-08-20T17:44:34.096218+00:00,0.0,True,ok,True,True,1.0,0.0,0,0
theyummybowl.com,False,False,False,2026-08-20T15:48:12.939242+00:00,1.9392102711111112,True,ok,True,True,,,0,0
