source,runs_sampled,run_success_rate,known_recipes,mean_evidence_confidence,legacy_evidence_pending,anomalies_recent,source_rating_mean,category_adjusted_source_bias,last_checked_at,hours_since_last_check,healthy_at_last_check,current_targets,current_verified,current_status,current_dom_structure_changes,current_schema_structure_changes
airfryingfoodie.com,11,1.0,559,0.65,0,187,4.794354881245657,0.06824569644405094,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
allrecipes.com,11,1.0,552,0.65,0,57,4.5793113949330735,-0.14269893863018016,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,32.0,32.0,ok,16,0
ambitiouskitchen.com,2,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
bbcgoodfood.com,3,1.0,0,,0,3,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
budgetbytes.com,4,1.0,27,0.65,0,0,4.722256321039473,-0.0038430414233090494,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
cookingclassy.com,3,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
delish.com,8,1.0,83,0.65,0,0,4.28437000991525,-0.15,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,2.0,2.0,ok,0,0
diethood.com,2,1.0,49,0.65,0,0,4.851570310075962,0.08443008669324119,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
dinneratthezoo.com,3,1.0,10,0.65,0,0,5.000000000000001,0.0901483276789425,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,1.0,1.0,ok,0,0
downshiftology.com,6,1.0,13,0.6500000000000001,0,0,4.965666120836099,0.08772217866958107,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,1.0,1.0,ok,0,0
eatingbirdfood.com,3,1.0,30,0.65,0,0,4.541379138132053,-0.10718196027424878,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,2.0,2.0,ok,0,0
eatingwell.com,4,1.0,69,0.65,0,0,4.696680900315665,-0.02313328844585928,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
everydayfamilycooking.com,3,1.0,358,0.65,0,0,4.582644899366031,-0.13585097636564641,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,3.0,3.0,ok,0,0
feelgoodfoodie.net,9,1.0,37,0.65,0,1,4.992238130198072,0.15,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,17.0,17.0,ok,0,0
foodandwine.com,2,1.0,22,0.65,0,0,4.42318553995424,-0.15,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
foodnetwork.com,3,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
forktospoon.com,2,1.0,2834,0.65,0,8,4.684726181225479,-0.03729543267792638,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,3.0,3.0,ok,0,0
gimmesomeoven.com,3,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
iheartnaptime.net,4,1.0,4,0.65,0,0,5.0,0.045489530347902915,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
jocooks.com,3,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
kelvinskitchen.com,1,1.0,1,0.65,0,0,5.0,0.01150799973551014,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
kristineskitchenblog.com,4,1.0,25,0.65,0,0,4.949822638087752,0.10587211829461651,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
lecremedelacrumb.com,6,1.0,6,0.65,0,1,4.9523336061911065,0.050036174183177635,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,1.0,1.0,ok,0,0
loveandlemons.com,6,1.0,19,0.65,0,0,4.843402229629199,0.05657157752795747,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,2.0,2.0,ok,0,0
melskitchencafe.com,2,1.0,2,0.65,0,0,4.961617640361545,0.019725792010119387,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
natashaskitchen.com,9,1.0,11,0.65,0,12,4.981688147104398,0.08082182587124769,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,8.0,8.0,ok,8,0
pinchofyum.com,9,1.0,6,0.65,0,2,4.854265186830793,0.028593602174055273,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,3.0,3.0,ok,2,0
platedcravings.com,3,1.0,53,0.65,0,2,4.920655396349257,0.14028293042759774,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,1.0,1.0,ok,1,0
rachelcooks.com,2,1.0,55,0.65,0,0,4.647984485376827,-0.05895330074589703,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
recipetineats.com,3,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
seriouseats.com,2,1.0,11,0.65,0,0,4.084048682742035,-0.15,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
simplyrecipes.com,4,1.0,23,0.65,0,1,4.566630150907967,-0.08640377741333524,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
skinnytaste.com,8,1.0,79,0.65,0,1,4.871975046086823,0.11425653803097294,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,6.0,6.0,ok,0,0
spendwithpennies.com,5,1.0,78,0.65,0,3,4.98189819956122,0.15,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,5.0,5.0,ok,3,0
tasteofhome.com,5,1.0,116,0.65,0,3,4.51699223476078,-0.15,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
temeculablogs.com,1,1.0,200,0.65,0,0,4.9049673764297035,0.15,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
thekitchn.com,2,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
thepioneerwoman.com,4,1.0,24,0.65,0,0,4.460275174827778,-0.13687096400040138,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
therealfooddietitians.com,5,1.0,9,0.65,0,0,4.972253919422465,0.07475036378391266,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,1.0,1.0,ok,0,0
therecipecritic.com,5,1.0,70,0.65,0,0,4.7996546117380525,0.058015959276522186,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,2.0,2.0,ok,0,0
thestayathomechef.com,1,1.0,33,0.65,0,0,4.97360312682426,0.14855290711591382,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
theyummybowl.com,1,1.0,42,0.65,0,0,4.973034238294729,0.15,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
twopeasandtheirpod.com,2,1.0,0,,0,0,,,2026-08-19T15:14:11.001155+00:00,1.8135681522222222,True,,,not_checked_this_run,0,0
wellplated.com,8,1.0,58,0.65,0,0,4.777481539876928,0.03488822095657628,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,6.0,6.0,ok,0,0
wholesomeyum.com,3,1.0,54,0.65,0,0,4.891465816696054,0.11720198871326015,2026-08-19T17:00:58.676764+00:00,0.033658260833333335,True,4.0,4.0,ok,0,0
