max_source_bias,evidence_penalty_scale,volume_prior_multiplier,uncertainty_cap,spearman_top200,kendall_top100,top10_overlap,top50_overlap
0.1,0.1,0.8,0.2,0.8931551095330619,0.7434343434343434,0.8,0.92
0.1,0.1,0.8,0.3,0.9390422614082806,0.8157575757575758,1.0,0.92
0.1,0.1,1.2,0.2,0.9101022566284419,0.7555555555555555,0.8,0.9
0.1,0.1,1.2,0.3,0.940541697642392,0.7975757575757576,1.0,0.92
0.1,0.2,0.8,0.2,0.8931551095330619,0.7434343434343434,0.8,0.92
0.1,0.2,0.8,0.3,0.9390422614082806,0.8157575757575758,1.0,0.92
0.1,0.2,1.2,0.2,0.9101022566284419,0.7555555555555555,0.8,0.9
0.1,0.2,1.2,0.3,0.940541697642392,0.7975757575757576,1.0,0.92
0.1,0.3,0.8,0.2,0.8931551095330619,0.7434343434343434,0.8,0.92
0.1,0.3,0.8,0.3,0.9390422614082806,0.8157575757575758,1.0,0.92
0.1,0.3,1.2,0.2,0.9101022566284419,0.7555555555555555,0.8,0.9
0.1,0.3,1.2,0.3,0.940541697642392,0.7975757575757576,1.0,0.92
0.15,0.1,0.8,0.2,0.9725421061747995,0.8856565656565657,0.8,0.94
0.15,0.1,0.8,0.3,0.9907388751316085,0.9301010101010101,1.0,1.0
0.15,0.1,1.2,0.2,0.9760824899005678,0.9220202020202021,0.9,0.94
0.15,0.1,1.2,0.3,0.9835109665767338,0.9171717171717172,0.9,0.92
0.15,0.2,0.8,0.2,0.9725421061747995,0.8856565656565657,0.8,0.94
0.15,0.2,0.8,0.3,0.9907388751316085,0.9301010101010101,1.0,1.0
0.15,0.2,1.2,0.2,0.9760824899005678,0.9220202020202021,0.9,0.94
0.15,0.2,1.2,0.3,0.9835109665767338,0.9171717171717172,0.9,0.92
0.15,0.3,0.8,0.2,0.9725421061747995,0.8856565656565657,0.8,0.94
0.15,0.3,0.8,0.3,0.9907388751316085,0.9301010101010101,1.0,1.0
0.15,0.3,1.2,0.2,0.9760824899005678,0.9220202020202021,0.9,0.94
0.15,0.3,1.2,0.3,0.9835109665767338,0.9171717171717172,0.9,0.92
0.2,0.1,0.8,0.2,0.9725030581117518,0.8852525252525253,0.8,0.94
0.2,0.1,0.8,0.3,0.9904459057793833,0.9284848484848485,1.0,1.0
0.2,0.1,1.2,0.2,0.9760941917392151,0.9208080808080809,0.9,0.94
0.2,0.1,1.2,0.3,0.9832920861305198,0.9151515151515152,0.9,0.92
0.2,0.2,0.8,0.2,0.9725030581117518,0.8852525252525253,0.8,0.94
0.2,0.2,0.8,0.3,0.9904459057793833,0.9284848484848485,1.0,1.0
0.2,0.2,1.2,0.2,0.9760941917392151,0.9208080808080809,0.9,0.94
0.2,0.2,1.2,0.3,0.9832920861305198,0.9151515151515152,0.9,0.92
0.2,0.3,0.8,0.2,0.9725030581117518,0.8852525252525253,0.8,0.94
0.2,0.3,0.8,0.3,0.9904459057793833,0.9284848484848485,1.0,1.0
0.2,0.3,1.2,0.2,0.9760941917392151,0.9208080808080809,0.9,0.94
0.2,0.3,1.2,0.3,0.9832920861305198,0.9151515151515152,0.9,0.92
