source,checked_this_run,successful_this_run,degraded_this_run,last_checked_at,hours_since_last_check,healthy_at_last_check,last_check_status,checked_within_24h,checked_within_7d,current_targets,current_verified,current_dom_structure_changes,current_schema_structure_changes
allrecipes.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,99.0,86.0,0,0
foodnetwork.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
delish.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
eatingwell.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
tasteofhome.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
skinnytaste.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
therecipecritic.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,1.0,0.0,0,0
spendwithpennies.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
pinchofyum.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
budgetbytes.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
simplyrecipes.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
wellplated.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
natashaskitchen.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
downshiftology.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
gimmesomeoven.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
lecremedelacrumb.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
therealfooddietitians.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
loveandlemons.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
thepioneerwoman.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
cookingclassy.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
iheartnaptime.net,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
feelgoodfoodie.net,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
kristineskitchenblog.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
jocooks.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
recipetineats.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
bbcgoodfood.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
seriouseats.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
thekitchn.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
foodandwine.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
ambitiouskitchen.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
eatingbirdfood.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
wholesomeyum.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
dinneratthezoo.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
diethood.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
twopeasandtheirpod.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
platedcravings.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
rachelcooks.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
melskitchencafe.com,True,True,False,2026-08-19T02:35:00.249379+00:00,0.0,True,ok,True,True,,,0,0
